id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
384155;Barcelona Center Beach Top Design;1751133;The Punset Family;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38333;2.18125;Entire home/apt;64;32;69;04/30/2019;0.78;1;341
384464;Paseo de Gracia / Plaza Catalunya;674212;Juanmi;Eixample;la Dreta de l'Eixample;41.38855;2.16942;Entire home/apt;160;2;73;08/24/2019;0.81;8;192
384867;A PERFECT DOUBLE ROOM  BCN CENTER;1926968;Monica;Eixample;l'Antiga Esquerra de l'Eixample;41.38777;2.16252;Private room;20;2;233;08/15/2019;2.63;2;119
385049;MIRADOR 3 Bedroom Apartment Port Vell;3775349;Mafe;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38179;2.18179;Entire home/apt;172;2;191;09/15/2019;2.1;29;239
393717;Cosy apartment near Las Ramblas;1968590;Manel;Ciutat Vella;el Raval;41.37888;2.16744;Entire home/apt;83;2;292;09/02/2019;3.3;2;312
394692;A PERFECT ROOM FOR RENT CENTER BCN;1926968;Monica;Eixample;l'Antiga Esquerra de l'Eixample;41.38784;2.16119;Private room;30;2;308;08/25/2019;3.45;2;104
401481;Centric Apartment in Barcelona;2004002;Xabier;Eixample;la Dreta de l'Eixample;41.39186;2.1724;Private room;45;2;365;09/15/2019;4.03;2;163
402633;BARCELONA CITY CENTRE CHARM;2009370;E.;Sants-Montju?c;el Poble Sec;41.37424;2.17044;Entire home/apt;250;3;196;08/05/2019;2.74;4;140
402657;Central, Sunny & Charming + Wifi;1117598;Amanda & Karl;Sants-Montju?c;el Poble Sec;41.3736;2.15934;Entire home/apt;95;3;226;08/28/2019;2.62;1;119
408127;Petite chambre confortable;2032512;Magali;Eixample;Sant Antoni;41.37578;2.16537;Private room;25;3;8;09/12/2019;0.22;1;0
408599;Charming 3bedroom flat with balcony;2034854;Roger;Sants-Montju?c;el Poble Sec;41.3745;2.1583;Entire home/apt;75;1;312;08/26/2019;3.45;1;320
410159;Barcelona Center 7 people Apartment;2041901;Dani;Eixample;el Fort Pienc;41.39947;2.17581;Entire home/apt;125;3;95;08/18/2019;1.06;16;347
412649;Cozy flat by the Magic Fountain;542867;Gabriela & Miguel;Sants-Montju?c;la Font de la Guatlla;41.37112;2.14866;Entire home/apt;67;2;167;08/28/2019;1.86;2;297
